Time,Theta_SW,Theta_H,Theta_A,Theta_S,K_H,K_A,B_H,B_A
0.48,0.629820942,0.461779176,0.886994923,0.630830334,0.5,0.5,0.1,0.1
0.482,0.631182201,0.463552241,0.886069591,0.632244257,0.5,0.5,0.1,0.1
0.484,0.632533742,0.465323452,0.885140715,0.633636749,0.5,0.5,0.1,0.1
0.486,0.633877271,0.467092801,0.884208298,0.635006302,0.5,0.5,0.1,0.1
0.488,0.635213929,0.468860282,0.883272345,0.636351973,0.5,0.5,0.1,0.1
0.49,0.636544228,0.470625888,0.882332859,0.637673451,0.5,0.5,0.1,0.1
0.492,0.637868032,0.472389611,0.881389843,0.63897107,0.5,0.5,0.1,0.1
0.494,0.639184586,0.474151445,0.880443301,0.640245788,0.5,0.5,0.1,0.1
0.496,0.640492591,0.475911382,0.879493238,0.641499105,0.5,0.5,0.1,0.1
0.498,0.641790312,0.477669416,0.878539657,0.64273296,0.5,0.5,0.1,0.1
0.5,0.643075719,0.479425539,0.877582562,0.643949587,0.5,0.5,0.1,0.1
0.502,0.644346644,0.481179744,0.876621956,0.645151356,0.5,0.5,0.1,0.1
0.504,0.64560095,0.482932024,0.875657844,0.646340611,0.5,0.5,0.1,0.1
0.506,0.646836687,0.484682373,0.874690229,0.647519505,0.5,0.5,0.1,0.1
0.508,0.648052241,0.486430783,0.873719116,0.648689861,0.5,0.5,0.1,0.1
0.51,0.649246445,0.488177247,0.872744508,0.64985305,0.5,0.5,0.1,0.1
0.512,0.650418666,0.489921758,0.871766408,0.651009913,0.5,0.5,0.1,0.1
0.514,0.651568848,0.49166431,0.870784822,0.652160713,0.5,0.5,0.1,0.1
0.516,0.65269751,0.493404895,0.869799752,0.653305137,0.5,0.5,0.1,0.1
0.518,0.65380571,0.495143507,0.868811204,0.654442338,0.5,0.5,0.1,0.1
0.52,0.654894962,0.496880138,0.86781918,0.655571008,0.5,0.5,0.1,0.1
0.522,0.655967129,0.498614781,0.866823684,0.656689493,0.5,0.5,0.1,0.1
0.524,0.657024288,0.50034743,0.865824722,0.657795923,0.5,0.5,0.1,0.1
0.526,0.658068588,0.502078078,0.864822296,0.65888836,0.5,0.5,0.1,0.1
0.528,0.659102098,0.503806717,0.863816411,0.659964941,0.5,0.5,0.1,0.1
0.53,0.660126671,0.505533341,0.862807071,0.661024024,0.5,0.5,0.1,0.1
